report_date,report_type,location,site,department,contractor,reporter_role,description,severity,planted_pattern
2026-03-28,NEAR_MISS,Site Charlie,Site Foxtrot,Logistics,Contractor-Pinnacle Contractors,Operator,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-03-17,NEAR_MISS,Site Foxtrot,Site Echo,Pipeline Integrity,Contractor-Delta Wellsite Services,Engineer,Waste segregation bins were not properly labeled at the site office.,HIGH,
2026-08-11,UNSAFE_CONDITION,Site Alpha,Site Foxtrot,Pipeline Integrity,Contractor-Delta Wellsite Services,Technician,Live wire was exposed during panel maintenance without proper lockout.,MODERATE,electrical_isolation
2026-05-05,NEAR_MISS,Site Alpha,Site Bravo,Maintenance,Contractor-Meridian Fabrication,Technician,Employee suggestion box was overflowing and needs regular clearing.,MODERATE,
2026-06-16,NEAR_MISS,Site Alpha,Site Alpha,HSE,Contractor-Pinnacle Contractors,Operator,Trip hazard from a loose cable was reported and fixed same day.,MODERATE,
2026-07-26,UNSAFE_CONDITION,Site Charlie,Site Bravo,Pipeline Integrity,Contractor-Pinnacle Contractors,Foreman,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-05-10,UNSAFE_ACT,Site Charlie,Site Bravo,Drilling,Contractor-Coastal Logistics,Site Supervisor,Waste segregation bins were not properly labeled at the site office.,HIGH,
2026-06-02,NEAR_MISS,Site Foxtrot,Site Charlie,Pipeline Integrity,Contractor-Atlas Mechanical,Foreman,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-04-20,NEAR_MISS,Site Delta,Site Charlie,Logistics,Contractor-Atlas Mechanical,Technician,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-04-08,UNSAFE_ACT,Site Foxtrot,Site Echo,Maintenance,Contractor-Redline Maintenance Group,Operator,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-05-19,UNSAFE_ACT,Site Bravo,Site Echo,HSE,Contractor-Orion Field Services,Foreman,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-06-22,UNSAFE_ACT,Site Delta,Site Charlie,HSE,Contractor-Delta Wellsite Services,Foreman,Waste segregation bins were not properly labeled at the site office.,MODERATE,
2026-07-30,UNSAFE_ACT,Site Echo,Site Foxtrot,Drilling,Contractor-Delta Wellsite Services,Engineer,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-07-11,NEAR_MISS,Site Echo,Site Bravo,HSE,Contractor-Meridian Fabrication,Technician,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-06-02,UNSAFE_ACT,Site Delta,Site Alpha,Operations,Contractor-Beacon Electrical Works,Operator,Missing barricade at an open edge on the tank platform.,HIGH,working_at_height
2026-06-07,UNSAFE_CONDITION,Site Bravo,Site Charlie,HSE,Contractor-Coastal Logistics,Operator,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-08-23,UNSAFE_CONDITION,Site Delta,Site Foxtrot,Maintenance,Contractor-Pinnacle Contractors,Foreman,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-03-13,UNSAFE_CONDITION,Site Alpha,Site Foxtrot,Logistics,Contractor-Northstar Industrial,Site Supervisor,Waste segregation bins were not properly labeled at the site office.,HIGH,
2026-04-09,UNSAFE_ACT,Site Bravo,Site Bravo,HSE,Contractor-Ironclad Scaffolding,Safety Officer,Expired permit was used to authorize work on the process unit.,HIGH,permit_to_work
2026-05-03,UNSAFE_CONDITION,Site Foxtrot,Site Bravo,Maintenance,Contractor-Meridian Fabrication,Site Supervisor,Employee suggestion box was overflowing and needs regular clearing.,LOW,
2026-06-21,UNSAFE_ACT,Site Charlie,Site Charlie,Logistics,Contractor-Delta Wellsite Services,Safety Officer,First aid kit in the workshop was missing a few items.,LOW,
2026-06-07,UNSAFE_CONDITION,Site Bravo,Site Alpha,Logistics,Contractor-Pinnacle Contractors,Site Supervisor,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-04-08,UNSAFE_ACT,Site Charlie,Site Foxtrot,Drilling,Contractor-Redline Maintenance Group,Operator,Contractor started grinding work without an approved hot work permit.,LOW,permit_to_work
2026-07-20,UNSAFE_CONDITION,Site Delta,Site Alpha,Logistics,Contractor-Summit Rigging Co,Site Supervisor,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-07-02,UNSAFE_ACT,Site Echo,Site Charlie,Logistics,Contractor-Delta Wellsite Services,Operator,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-03-12,UNSAFE_ACT,Site Charlie,Site Echo,Pipeline Integrity,Contractor-Delta Wellsite Services,Site Supervisor,Water leakage from a faucet reported in the site canteen.,LOW,
2026-04-22,UNSAFE_CONDITION,Site Delta,Site Delta,HSE,Contractor-Northstar Industrial,Foreman,Employee suggestion box was overflowing and needs regular clearing.,LOW,
2026-07-05,UNSAFE_CONDITION,Site Foxtrot,Site Delta,Drilling,Contractor-Meridian Fabrication,Technician,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-08-07,NEAR_MISS,Site Bravo,Site Delta,Pipeline Integrity,Contractor-Northstar Industrial,Site Supervisor,Standby attendant was absent during confined space entry at the separator.,MODERATE,confined_space
2026-05-30,UNSAFE_CONDITION,Site Echo,Site Echo,Maintenance,Contractor-Orion Field Services,Operator,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-08-25,NEAR_MISS,Site Echo,Site Charlie,Maintenance,Contractor-Atlas Mechanical,Technician,Minor spill of lubricant was cleaned up promptly with no injury.,LOW,
2026-02-26,UNSAFE_ACT,Site Bravo,Site Charlie,HSE,Contractor-Northstar Industrial,Foreman,Minor spill of lubricant was cleaned up promptly with no injury.,LOW,
2026-08-14,NEAR_MISS,Site Alpha,Site Charlie,Logistics,Contractor-Northstar Industrial,Safety Officer,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-06-07,UNSAFE_CONDITION,Site Delta,Site Echo,Operations,Contractor-Northstar Industrial,Operator,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-05-03,NEAR_MISS,Site Delta,Site Delta,Operations,Contractor-Orion Field Services,Operator,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-07-13,UNSAFE_CONDITION,Site Charlie,Site Echo,Logistics,Contractor-Meridian Fabrication,Foreman,Waste segregation bins were not properly labeled at the site office.,LOW,
2026-08-20,UNSAFE_CONDITION,Site Delta,Site Foxtrot,Logistics,Contractor-Meridian Fabrication,Operator,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-03-14,UNSAFE_CONDITION,Site Alpha,Site Alpha,Logistics,Contractor-Pinnacle Contractors,Technician,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-07-04,UNSAFE_CONDITION,Site Alpha,Site Bravo,Maintenance,Contractor-Beacon Electrical Works,Safety Officer,Technician entered energized pump area before electrical isolation was verified.,MODERATE,electrical_isolation
2026-07-25,UNSAFE_ACT,Site Echo,Site Charlie,HSE,Contractor-Beacon Electrical Works,Safety Officer,Elevated work platform was accessed without edge protection in place.,MODERATE,working_at_height
2026-06-18,UNSAFE_ACT,Site Foxtrot,Site Charlie,Pipeline Integrity,Contractor-Coastal Logistics,Technician,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-07-09,UNSAFE_CONDITION,Site Echo,Site Alpha,Logistics,Contractor-Ironclad Scaffolding,Engineer,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-07-14,UNSAFE_CONDITION,Site Delta,Site Delta,Drilling,Contractor-Delta Wellsite Services,Operator,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-06-30,UNSAFE_CONDITION,Site Charlie,Site Delta,Pipeline Integrity,Contractor-Pinnacle Contractors,Foreman,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-04-08,UNSAFE_CONDITION,Site Delta,Site Bravo,Drilling,Contractor-Beacon Electrical Works,Operator,Fall arrest lanyard was not connected during crane basket operation.,LOW,working_at_height
2026-08-17,UNSAFE_CONDITION,Site Charlie,Site Charlie,Maintenance,Contractor-Ironclad Scaffolding,Technician,First aid kit in the workshop was missing a few items.,LOW,
2026-04-15,UNSAFE_CONDITION,Site Charlie,Site Foxtrot,Maintenance,Contractor-Vantage Energy Services,Engineer,Employee suggestion box was overflowing and needs regular clearing.,LOW,
2026-04-04,NEAR_MISS,Site Bravo,Site Bravo,Drilling,Contractor-Orion Field Services,Foreman,Housekeeping issue noted in the tool storage area.,LOW,
2026-07-01,UNSAFE_ACT,Site Bravo,Site Echo,Drilling,Contractor-Orion Field Services,Engineer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-06-11,UNSAFE_ACT,Site Echo,Site Echo,Pipeline Integrity,Contractor-Delta Wellsite Services,Engineer,Noise levels in the compressor room exceeded comfort but PPE was in use.,LOW,
2026-08-19,UNSAFE_CONDITION,Site Alpha,Site Echo,Logistics,Contractor-Orion Field Services,Foreman,LOTO checklist was not verified before crew began work on the compressor.,LOW,electrical_isolation
2026-08-10,UNSAFE_CONDITION,Site Delta,Site Charlie,Maintenance,Contractor-Atlas Mechanical,Safety Officer,First aid kit in the workshop was missing a few items.,LOW,
2026-04-04,UNSAFE_CONDITION,Site Delta,Site Bravo,Operations,Contractor-Redline Maintenance Group,Engineer,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-08-06,NEAR_MISS,Site Delta,Site Charlie,HSE,Contractor-Vantage Energy Services,Operator,Entry permit for the vessel was not verified prior to work.,MODERATE,confined_space
2026-07-27,UNSAFE_CONDITION,Site Delta,Site Delta,Drilling,Contractor-Beacon Electrical Works,Engineer,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-05-08,NEAR_MISS,Site Charlie,Site Charlie,Logistics,Contractor-Coastal Logistics,Foreman,First aid kit in the workshop was missing a few items.,MODERATE,
2026-07-20,UNSAFE_CONDITION,Site Charlie,Site Echo,Operations,Contractor-Redline Maintenance Group,Safety Officer,Isolation tag was removed before work was actually complete.,LOW,electrical_isolation
2026-05-02,UNSAFE_CONDITION,Site Bravo,Site Bravo,Maintenance,Contractor-Meridian Fabrication,Engineer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-04-25,UNSAFE_CONDITION,Site Bravo,Site Echo,Operations,Contractor-Pinnacle Contractors,Operator,Temporary lighting was insufficient in the storage yard at night.,LOW,
2026-06-16,UNSAFE_ACT,Site Foxtrot,Site Alpha,Maintenance,Contractor-Pinnacle Contractors,Operator,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-03-29,NEAR_MISS,Site Foxtrot,Site Delta,Drilling,Contractor-Meridian Fabrication,Site Supervisor,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-08-11,NEAR_MISS,Site Charlie,Site Echo,HSE,Contractor-Pinnacle Contractors,Safety Officer,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-06-16,UNSAFE_ACT,Site Bravo,Site Alpha,Drilling,Contractor-Beacon Electrical Works,Safety Officer,Live wire was exposed during panel maintenance without proper lockout.,LOW,electrical_isolation
2026-08-21,UNSAFE_CONDITION,Site Delta,Site Alpha,Operations,Contractor-Northstar Industrial,Technician,Housekeeping issue noted in the tool storage area.,HIGH,
2026-04-23,NEAR_MISS,Site Foxtrot,Site Foxtrot,Logistics,Contractor-Delta Wellsite Services,Operator,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-04-18,UNSAFE_CONDITION,Site Charlie,Site Bravo,Maintenance,Contractor-Summit Rigging Co,Site Supervisor,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-06-17,UNSAFE_CONDITION,Site Charlie,Site Charlie,Maintenance,Contractor-Atlas Mechanical,Engineer,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-04-13,NEAR_MISS,Site Delta,Site Echo,Operations,Contractor-Coastal Logistics,Safety Officer,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-05-25,UNSAFE_CONDITION,Site Delta,Site Alpha,Maintenance,Contractor-Atlas Mechanical,Site Supervisor,Expired permit was used to authorize work on the process unit.,MODERATE,permit_to_work
2026-05-28,NEAR_MISS,Site Foxtrot,Site Bravo,Operations,Contractor-Northstar Industrial,Site Supervisor,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-06-14,UNSAFE_ACT,Site Bravo,Site Charlie,Pipeline Integrity,Contractor-Delta Wellsite Services,Site Supervisor,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-06-06,NEAR_MISS,Site Charlie,Site Charlie,Pipeline Integrity,Contractor-Pinnacle Contractors,Operator,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-08-02,UNSAFE_CONDITION,Site Charlie,Site Charlie,Pipeline Integrity,Contractor-Northstar Industrial,Operator,Minor spill of lubricant was cleaned up promptly with no injury.,HIGH,
2026-06-02,NEAR_MISS,Site Alpha,Site Delta,Maintenance,Contractor-Atlas Mechanical,Foreman,Rescue equipment was unavailable at the confined space work site.,LOW,confined_space
2026-05-23,UNSAFE_ACT,Site Charlie,Site Alpha,Logistics,Contractor-Pinnacle Contractors,Engineer,Fire extinguisher inspection tag found expired in the break room.,LOW,
2026-04-18,UNSAFE_ACT,Site Echo,Site Echo,Operations,Contractor-Meridian Fabrication,Safety Officer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-03-16,UNSAFE_ACT,Site Delta,Site Echo,HSE,Contractor-Atlas Mechanical,Engineer,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-05-28,UNSAFE_CONDITION,Site Bravo,Site Foxtrot,Logistics,Contractor-Pinnacle Contractors,Safety Officer,Contractor started grinding work without an approved hot work permit.,HIGH,permit_to_work
2026-06-09,UNSAFE_CONDITION,Site Foxtrot,Site Foxtrot,HSE,Contractor-Summit Rigging Co,Technician,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-03-17,NEAR_MISS,Site Alpha,Site Delta,HSE,Contractor-Redline Maintenance Group,Foreman,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-05-22,UNSAFE_CONDITION,Site Echo,Site Bravo,Logistics,Contractor-Atlas Mechanical,Technician,Fire extinguisher inspection tag found expired in the break room.,LOW,
2026-04-04,UNSAFE_ACT,Site Foxtrot,Site Foxtrot,Logistics,Contractor-Beacon Electrical Works,Site Supervisor,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-05-07,NEAR_MISS,Site Delta,Site Charlie,Maintenance,Contractor-Redline Maintenance Group,Foreman,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-05-23,NEAR_MISS,Site Alpha,Site Echo,Drilling,Contractor-Delta Wellsite Services,Technician,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-04-08,UNSAFE_CONDITION,Site Charlie,Site Foxtrot,Pipeline Integrity,Contractor-Atlas Mechanical,Foreman,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-08-03,NEAR_MISS,Site Delta,Site Echo,HSE,Contractor-Coastal Logistics,Engineer,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-06-21,UNSAFE_ACT,Site Alpha,Site Foxtrot,HSE,Contractor-Vantage Energy Services,Foreman,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-05-18,NEAR_MISS,Site Echo,Site Delta,Operations,Contractor-Orion Field Services,Engineer,First aid kit in the workshop was missing a few items.,MODERATE,
2026-07-14,UNSAFE_ACT,Site Foxtrot,Site Echo,HSE,Contractor-Atlas Mechanical,Engineer,First aid kit in the workshop was missing a few items.,HIGH,
2026-05-20,NEAR_MISS,Site Bravo,Site Delta,Logistics,Contractor-Pinnacle Contractors,Engineer,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-06-29,NEAR_MISS,Site Charlie,Site Bravo,Pipeline Integrity,Contractor-Coastal Logistics,Engineer,First aid kit in the workshop was missing a few items.,MODERATE,
2026-03-27,UNSAFE_CONDITION,Site Delta,Site Charlie,Maintenance,Contractor-Redline Maintenance Group,Operator,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-03-25,UNSAFE_CONDITION,Site Foxtrot,Site Foxtrot,Drilling,Contractor-Redline Maintenance Group,Operator,Water leakage from a faucet reported in the site canteen.,LOW,
2026-08-05,NEAR_MISS,Site Alpha,Site Delta,Drilling,Contractor-Summit Rigging Co,Foreman,Reverse alarm on the site vehicle was found to be non-functional.,HIGH,vehicle_pedestrian
2026-05-10,UNSAFE_ACT,Site Alpha,Site Delta,Maintenance,Contractor-Redline Maintenance Group,Foreman,Technician climbed to elevated work area without anchor point confirmed.,LOW,working_at_height
2026-03-22,UNSAFE_ACT,Site Alpha,Site Foxtrot,Operations,Contractor-Delta Wellsite Services,Operator,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-08-20,UNSAFE_CONDITION,Site Bravo,Site Charlie,Maintenance,Contractor-Orion Field Services,Safety Officer,Panel door was opened while circuit remained energized.,MODERATE,electrical_isolation
2026-04-03,UNSAFE_CONDITION,Site Echo,Site Charlie,HSE,Contractor-Beacon Electrical Works,Site Supervisor,Trip hazard from a loose cable was reported and fixed same day.,MODERATE,
2026-05-01,UNSAFE_CONDITION,Site Alpha,Site Alpha,Pipeline Integrity,Contractor-Northstar Industrial,Safety Officer,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-07-15,NEAR_MISS,Site Foxtrot,Site Alpha,Maintenance,Contractor-Northstar Industrial,Engineer,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-04-15,NEAR_MISS,Site Foxtrot,Site Foxtrot,Logistics,Contractor-Northstar Industrial,Operator,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-04-01,NEAR_MISS,Site Echo,Site Alpha,Pipeline Integrity,Contractor-Ironclad Scaffolding,Site Supervisor,Waste segregation bins were not properly labeled at the site office.,HIGH,
2026-08-12,UNSAFE_ACT,Site Charlie,Site Echo,Maintenance,Contractor-Coastal Logistics,Site Supervisor,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-06-21,NEAR_MISS,Site Alpha,Site Echo,Pipeline Integrity,Contractor-Vantage Energy Services,Technician,Energized cable was handled without confirming de-energization.,LOW,electrical_isolation
2026-08-17,NEAR_MISS,Site Echo,Site Echo,Drilling,Contractor-Summit Rigging Co,Technician,Fire extinguisher inspection tag found expired in the break room.,LOW,
2026-03-28,NEAR_MISS,Site Foxtrot,Site Foxtrot,HSE,Contractor-Northstar Industrial,Safety Officer,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-03-30,UNSAFE_CONDITION,Site Echo,Site Alpha,Drilling,Contractor-Delta Wellsite Services,Technician,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-07-05,UNSAFE_ACT,Site Charlie,Site Charlie,Logistics,Contractor-Beacon Electrical Works,Foreman,Minor spill of lubricant was cleaned up promptly with no injury.,MODERATE,
2026-03-01,NEAR_MISS,Site Foxtrot,Site Alpha,Pipeline Integrity,Contractor-Coastal Logistics,Engineer,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-08-01,UNSAFE_ACT,Site Delta,Site Echo,Logistics,Contractor-Vantage Energy Services,Foreman,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-06-25,UNSAFE_ACT,Site Bravo,Site Alpha,Pipeline Integrity,Contractor-Northstar Industrial,Operator,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-05-03,NEAR_MISS,Site Charlie,Site Charlie,Drilling,Contractor-Orion Field Services,Engineer,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-08-25,NEAR_MISS,Site Alpha,Site Bravo,Maintenance,Contractor-Vantage Energy Services,Safety Officer,Technician entered energized pump area before electrical isolation was verified.,LOW,electrical_isolation
2026-03-20,UNSAFE_ACT,Site Charlie,Site Alpha,Pipeline Integrity,Contractor-Meridian Fabrication,Site Supervisor,Waste segregation bins were not properly labeled at the site office.,MODERATE,
2026-04-14,NEAR_MISS,Site Charlie,Site Delta,Logistics,Contractor-Summit Rigging Co,Engineer,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-06-22,UNSAFE_CONDITION,Site Bravo,Site Echo,Pipeline Integrity,Contractor-Summit Rigging Co,Safety Officer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-06-03,NEAR_MISS,Site Charlie,Site Charlie,Pipeline Integrity,Contractor-Coastal Logistics,Engineer,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-07-23,NEAR_MISS,Site Alpha,Site Echo,Logistics,Contractor-Delta Wellsite Services,Safety Officer,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-03-28,UNSAFE_CONDITION,Site Alpha,Site Alpha,Maintenance,Contractor-Orion Field Services,Engineer,Water leakage from a faucet reported in the site canteen.,MODERATE,
2026-06-10,UNSAFE_ACT,Site Charlie,Site Charlie,HSE,Contractor-Orion Field Services,Engineer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-07-23,UNSAFE_ACT,Site Bravo,Site Foxtrot,Maintenance,Contractor-Atlas Mechanical,Technician,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-06-24,UNSAFE_ACT,Site Alpha,Site Charlie,Logistics,Contractor-Summit Rigging Co,Foreman,Water leakage from a faucet reported in the site canteen.,MODERATE,
2026-08-10,UNSAFE_ACT,Site Delta,Site Alpha,Drilling,Contractor-Beacon Electrical Works,Site Supervisor,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-03-12,UNSAFE_CONDITION,Site Bravo,Site Bravo,Maintenance,Contractor-Atlas Mechanical,Operator,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-08-21,UNSAFE_ACT,Site Delta,Site Delta,Maintenance,Contractor-Delta Wellsite Services,Foreman,Temporary lighting was insufficient in the storage yard at night.,LOW,
2026-08-19,UNSAFE_CONDITION,Site Bravo,Site Charlie,Logistics,Contractor-Ironclad Scaffolding,Foreman,Temporary lighting was insufficient in the storage yard at night.,LOW,
2026-05-12,UNSAFE_ACT,Site Delta,Site Bravo,Drilling,Contractor-Ironclad Scaffolding,Safety Officer,First aid kit in the workshop was missing a few items.,LOW,
2026-08-23,UNSAFE_CONDITION,Site Echo,Site Foxtrot,Operations,Contractor-Ironclad Scaffolding,Foreman,Vehicle backed up without a spotter present near the loading bay.,LOW,vehicle_pedestrian
2026-04-01,NEAR_MISS,Site Alpha,Site Echo,Pipeline Integrity,Contractor-Atlas Mechanical,Technician,Waste segregation bins were not properly labeled at the site office.,MODERATE,
2026-06-08,NEAR_MISS,Site Foxtrot,Site Charlie,Operations,Contractor-Meridian Fabrication,Engineer,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-07-17,UNSAFE_ACT,Site Bravo,Site Charlie,Logistics,Contractor-Vantage Energy Services,Engineer,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-06-13,UNSAFE_CONDITION,Site Echo,Site Foxtrot,Operations,Contractor-Orion Field Services,Site Supervisor,Worker accessed switchgear room without confirming lockout status.,LOW,electrical_isolation
2026-06-16,NEAR_MISS,Site Alpha,Site Bravo,Logistics,Contractor-Coastal Logistics,Foreman,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-04-27,NEAR_MISS,Site Foxtrot,Site Foxtrot,HSE,Contractor-Northstar Industrial,Engineer,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-02-26,UNSAFE_CONDITION,Site Delta,Site Echo,Maintenance,Contractor-Northstar Industrial,Technician,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-05-05,UNSAFE_CONDITION,Site Foxtrot,Site Alpha,Pipeline Integrity,Contractor-Pinnacle Contractors,Operator,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-05-16,UNSAFE_CONDITION,Site Echo,Site Bravo,Logistics,Contractor-Vantage Energy Services,Engineer,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-08-11,UNSAFE_CONDITION,Site Foxtrot,Site Foxtrot,HSE,Contractor-Redline Maintenance Group,Site Supervisor,Water leakage from a faucet reported in the site canteen.,LOW,
2026-08-12,NEAR_MISS,Site Delta,Site Charlie,Logistics,Contractor-Northstar Industrial,Engineer,First aid kit in the workshop was missing a few items.,HIGH,
2026-04-26,UNSAFE_ACT,Site Delta,Site Foxtrot,HSE,Contractor-Ironclad Scaffolding,Safety Officer,Noise levels in the compressor room exceeded comfort but PPE was in use.,LOW,
2026-05-31,UNSAFE_CONDITION,Site Foxtrot,Site Bravo,Drilling,Contractor-Ironclad Scaffolding,Safety Officer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-03-05,NEAR_MISS,Site Delta,Site Echo,Maintenance,Contractor-Delta Wellsite Services,Technician,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-05-04,NEAR_MISS,Site Foxtrot,Site Alpha,Drilling,Contractor-Orion Field Services,Technician,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-03-31,NEAR_MISS,Site Foxtrot,Site Bravo,Operations,Contractor-Ironclad Scaffolding,Technician,Waste segregation bins were not properly labeled at the site office.,LOW,
2026-04-23,UNSAFE_ACT,Site Foxtrot,Site Delta,HSE,Contractor-Orion Field Services,Site Supervisor,Noise levels in the compressor room exceeded comfort but PPE was in use.,LOW,
2026-05-03,UNSAFE_ACT,Site Bravo,Site Bravo,Operations,Contractor-Meridian Fabrication,Technician,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-07-21,UNSAFE_CONDITION,Site Charlie,Site Delta,Maintenance,Contractor-Coastal Logistics,Safety Officer,Entry permit for the vessel was not verified prior to work.,HIGH,confined_space
2026-06-24,NEAR_MISS,Site Echo,Site Charlie,HSE,Contractor-Summit Rigging Co,Technician,Energized cable was handled without confirming de-energization.,MODERATE,electrical_isolation
2026-03-29,UNSAFE_CONDITION,Site Delta,Site Echo,HSE,Contractor-Ironclad Scaffolding,Site Supervisor,First aid kit in the workshop was missing a few items.,LOW,
2026-06-23,NEAR_MISS,Site Alpha,Site Bravo,Pipeline Integrity,Contractor-Redline Maintenance Group,Technician,Waste segregation bins were not properly labeled at the site office.,HIGH,
2026-04-20,UNSAFE_CONDITION,Site Alpha,Site Foxtrot,Pipeline Integrity,Contractor-Summit Rigging Co,Site Supervisor,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-04-28,NEAR_MISS,Site Alpha,Site Alpha,Pipeline Integrity,Contractor-Pinnacle Contractors,Safety Officer,Minor spill of lubricant was cleaned up promptly with no injury.,HIGH,
2026-04-23,UNSAFE_CONDITION,Site Charlie,Site Bravo,HSE,Contractor-Pinnacle Contractors,Site Supervisor,Water leakage from a faucet reported in the site canteen.,LOW,
2026-04-22,NEAR_MISS,Site Charlie,Site Delta,Operations,Contractor-Beacon Electrical Works,Operator,Water leakage from a faucet reported in the site canteen.,LOW,
2026-06-03,UNSAFE_CONDITION,Site Echo,Site Echo,Drilling,Contractor-Ironclad Scaffolding,Foreman,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-06-21,UNSAFE_ACT,Site Charlie,Site Foxtrot,Maintenance,Contractor-Ironclad Scaffolding,Safety Officer,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-03-10,NEAR_MISS,Site Alpha,Site Echo,HSE,Contractor-Summit Rigging Co,Site Supervisor,Employee suggestion box was overflowing and needs regular clearing.,LOW,
2026-02-28,UNSAFE_CONDITION,Site Echo,Site Alpha,HSE,Contractor-Redline Maintenance Group,Safety Officer,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-07-17,UNSAFE_CONDITION,Site Bravo,Site Delta,HSE,Contractor-Northstar Industrial,Foreman,Scaffold inspection tag was expired but crew worked on it anyway.,LOW,working_at_height
